"Factor","RNA","Methyl","RPPA"
"Factor1",9.90557670593262,10.683137178421,5.12210130691528
"Factor2",8.89472365379333,4.29777503013611,8.26407074928284
"Factor3",0.134003162384033,11.2021923065186,0.143837928771973
"Factor4",0.179445743560791,8.15883278846741,0.365984439849854
"Factor5",3.22554111480713,3.91747355461121,0.819361209869385
"Factor6",6.62299990653992,0.00416040420532227,0.0668168067932129
"Factor7",2.71455645561218,0.887197256088257,1.4935314655304
"Factor8",1.69565081596375,1.99601054191589,0.720036029815674
"Factor9",2.5628924369812,0.750601291656494,0.435960292816162
"Factor10",2.85435318946838,0.146275758743286,0.350618362426758
"Factor11",0.0477135181427002,2.19269394874573,0.216490030288696
"Factor12",0.0613570213317871,1.69154405593872,0.131559371948242
"Factor13",0.00162124633789062,1.11733675003052,0.692778825759888
"Factor14",0.071185827255249,1.59148573875427,0.0184357166290283
"Factor15",0.0594615936279297,1.36457085609436,0.219959020614624
