"Factor","HR","p_value","CI_lower","CI_upper","p_adj"
"Factor1",1.11540140793942,0.430838456565341,0.850004089343653,1.46366390048065,0.646257684848012
"Factor2",1.08600696062356,0.549617297119462,0.828811168363022,1.42301547510787,0.741653698788542
"Factor3",1.0003318231213,0.998303539876485,0.736756889957185,1.35820074435591,0.998303539876485
"Factor4",1.05300743230487,0.692210118869306,0.815397251417194,1.35985821703729,0.741653698788542
"Factor5",0.737778370738443,0.0305634348626303,0.56005842190606,0.971893115144997,0.136960909608324
"Factor6",1.14420371356691,0.423266286912589,0.822830040363299,1.5910966711452,0.646257684848012
"Factor7",0.932027877315206,0.652928273657858,0.685784699337556,1.2666890423945,0.741653698788542
"Factor8",1.30798391658144,0.0314751772916051,1.0241331136899,1.67050738147867,0.136960909608324
"Factor9",0.885939017459106,0.42658126737359,0.657270568807599,1.1941626172009,0.646257684848012
"Factor10",1.322969869692,0.0403509654768316,1.01238638915229,1.72883524992707,0.136960909608324
"Factor11",0.779467388440475,0.0583766004739679,0.602226646640346,1.00887168150343,0.14594150118492
"Factor12",1.07457165487995,0.618511508907104,0.809643045502642,1.42618929154707,0.741653698788542
"Factor13",1.36895510612421,0.0380696464260283,1.01743257624758,1.84192852316094,0.136960909608324
"Factor14",1.34301673975065,0.045653636536108,1.00571483996524,1.79344471372502,0.136960909608324
"Factor15",0.870508658014083,0.188100339670794,0.708092613718998,1.07017826340186,0.403072156437416
