"factor","top_genes","category"
"Factor1","GABRP, C4orf7, STAC2","Luminal Biology"
"Factor2","PTPRT, TUSC5, ATP1A2","Luminal Biology"
"Factor3","C8orf42, C3orf30, HTR2C","Methylation"
"Factor4","TMEM179, ZNF692, BEX4","Methylation"
"Factor5","PLA2G2D, SIRPG, TIGIT, ICOS, ZAP70","Immune"
"Factor6","IL6ST, GAS2L3, DDI2","Proliferation"
"Factor7","PPAPDC1A, COL10A1, EPYC, FN1","Proliferation"
"Factor8","CFB, ADRA2C, TTC22","Risk Factors"
"Factor9","TFAP2B, CPNE7, GGT6","Risk Factors"
"Factor10","C19orf20, COL7A1, WNT9A","Risk Factors"
"Factor11","TBC1D1, EIF2AK2, MGA","Mixed"
"Factor12","RPL13AP3, PPIAL4C, ZNF205","Mixed"
"Factor13","TEX28, OR2T10, SNORA42","Mixed"
"Factor14","SPNS1, DMXL2, NACA2","Undefined"
"Factor15","RAB43, MTRF1L, C11orf10","Undefined"
