"Factor","RMST_Diff_Days","CI_lower","CI_upper","P_value"
"Factor1",-50,-138.9,38.9,0.27022
"Factor2",85.7,-3.7,175.1,0.06014
"Factor3",3.7,-86.5,93.9,0.93587
"Factor4",-82.9,-172.4,6.7,0.06966
"Factor5",66.2,-23.9,156.2,0.14982
"Factor6",14.2,-77,105.4,0.75948
"Factor7",95.6,0.6,190.5,0.04859
"Factor8",-71.8,-159.8,16.2,0.10975
"Factor9",-10.4,-101.6,80.8,0.82286
"Factor10",0.7,-87.7,89,0.98772
"Factor11",58.2,-32.9,149.4,0.21062
"Factor12",-43.8,-136,48.4,0.35166
"Factor13",-45.5,-139,48.1,0.34115
"Factor14",-65.1,-163.4,33.2,0.19445
"Factor15",13.3,-77.6,104.1,0.77466
