"Factor","Endpoint","HR","p_value","CI_lower","CI_upper","p_adj"
"Factor1","RFS",1.04385047237785,0.430838456565341,0.938135737631345,1.16147777445789,0.646257684848011
"Factor2","RFS",1.03496945024619,0.549617297119461,0.924760691729704,1.15831238559606,0.741653698788542
"Factor3","RFS",1.00031746941246,0.998303539876485,0.74655613106162,1.34033463523876,0.998303539876485
"Factor4","RFS",1.03608094661391,0.692210118869306,0.869314038932592,1.23483997710937,0.741653698788542
"Factor5","RFS",0.847808133128786,0.0305634348626304,0.729990173928936,0.984641514735361,0.136960909608325
"Factor6","RFS",1.08825191426499,0.423266286912589,0.88476963052377,1.33853173531774,0.646257684848011
"Factor7","RFS",0.944177443144107,0.652928273657858,0.735067614074968,1.21277420889233,0.741653698788542
"Factor8","RFS",1.20070349711758,0.0314751772916051,1.01637819152566,1.4184571255177,0.136960909608325
"Factor9","RFS",0.925649316211156,0.42658126737359,0.765121909523343,1.11985638620121,0.646257684848011
"Factor10","RFS",1.31152995894828,0.0403509654768314,1.01199973837957,1.69971470148119,0.136960909608325
"Factor11","RFS",0.731933190738241,0.0583766004739679,0.529831998772396,1.01112465261729,0.14594150118492
"Factor12","RFS",1.07846656337007,0.618511508907103,0.80108808803194,1.45188793302951,0.741653698788542
"Factor13","RFS",1.47100993449041,0.0380696464260283,1.02146633941319,2.11839601940538,0.136960909608325
"Factor14","RFS",1.28738398614762,0.0456536365361082,1.004893042155,1.64928749455277,0.136960909608325
"Factor15","RFS",0.902836023823492,0.188100339670794,0.775365888858808,1.05126224615466,0.403072156437416
